global_id,movieName,db_id,db_id
88,奥拉星：进击圣殿(2015),26318077,26318077
89,赛尔号大电影5：雷神崛起(0),26379074,26379074
90,天眼传奇(0),26599044,26599044
91,兔子镇的火狐狸(2015),6878457,6878457
92,咕噜咕噜美人鱼(2015),26593244,26593244
93,瞒天计划(2015),24878250,24878250
94,藤田嗣治(0),25994698,25994698
95,罗丹(2017),26698265,26698265
96,郎在远方(2008),3177216,3177216
97,亡命雷区(2016),26600428,26600428
98,奥斯曼中尉(0),26736088,26736088
99,张震讲故事之合租屋(0),26781781,26781781
100,怨灵地下室(2016),26876505,26876505
101,鬼话怪谈·祥云寺(0),26903992,26903992
102,爱的进行时(2015),26638503,26638503
103,帕洛斯弗迪斯的部落(0),4025813,4025813
104,沿海出发(2018),30162995,30162995
105,雪崩行动(2016),25939432,25939432
106,温柔杀人者的记录(2014),25872965,25872965
107,波尔卡舞王(2017),26791655,26791655
108,雪峰神爸(0),25934457,25934457
109,武力2(0),26830275,26830275
110,美好的人生(0),26852163,26852163
111,史蒂文斯小姐(2016),21349750,21349750
112,游戏规则(0),26745334,26745334
113,一条龙(0),26598291,26598291
114,女妖(2016),26887898,26887898
115,往事如河(0),25822721,25822721
116,亲切的弗吉尼亚(2017),26861519,26861519
117,保安官(0),26761205,26761205
118,我自己的情歌(2010),3001186,3001186
119,救世主回来了(2017),27040772,27040772
120,爱尚泰国(2017),27059236,27059236
121,真爱禁区(0),27097066,27097066
122,招笑猫(0),26964860,26964860
123,大漠雄心(2017),27174474,27174474
124,一路绽放(2017),27191456,27191456
125,午夜阳光(2018),26580936,26580936
126,啄木鸟伍迪(2017),23774816,23774816
127,神秘世界历险记4(0),30208005,30208005
128,新大头儿子和小头爸爸3：俄罗斯奇遇记(0),30198729,30198729
129,幸福的黄手帕(0),6807380,6807380
130,词典(0),30176282,30176282
131,空中轮胎(2018),26989735,26989735
132,情迷高跟鞋(1991),1300953,1300953
133,春光乍泄(1997),1292679,1292679
134,重庆森林(0),1291999,1291999
135,罗生门(1950),1291879,1291879
136,七武士(0),1295399,1295399
137,怪谈(1964),1303083,1303083
138,百变狸猫(1994),1303907,1303907
139,岁月的童话(1991),1291588,1291588
140,鲁邦三世：卡里奥斯特罗城(0),1432436,1432436
141,河流(0),1303456,1303456
142,客途秋恨(1990),1308304,1308304
143,投奔怒海(0),1296557,1296557
144,早安(1959),1298063,1298063
145,父亲在世时(1942),1304405,1304405
146,早春(1956),1298704,1298704
147,安妮·霍尔(0),1296987,1296987
148,落水狗(1992),1299603,1299603
149,兔子洞(2010),3641108,3641108
150,薄暮之光(2006),1472907,1472907
151,十月围城(0),3626416,3626416
152,情人们(1958),1296250,1296250
153,桃色公寓(1960),1394218,1394218
154,龙凤配(1954),1293868,1293868
155,七年之痒(1955),1294379,1294379
156,破事儿(2007),2346881,2346881
157,志明与春娇(0),4305436,4305436
158,大菩萨岭(1966),1440164,1440164
159,游园惊梦(2001),1304708,1304708
160,新宿事件(2009),2209368,2209368
161,如梦(2009),3114200,3114200
162,冬春的日子(1993),1441017,1441017
163,首演之夜(0),1292768,1292768
164,春风沉醉的夜晚(2009),3690289,3690289
165,死囚越狱(0),1303562,1303562
166,小山回家(1995),2138300,2138300
167,静谧的生活(1974),1300817,1300817
168,家有喜事(1992),1300064,1300064
169,恋战冲绳(2000),1306799,1306799
170,白发魔女传(1993),1293765,1293765
171,锦衣卫(0),3754946,3754946
172,叶问2：宗师传奇(0),3578981,3578981
173,精武风云·陈真(0),3792816,3792816
174,山楂树之恋(0),4151110,4151110
175,变脸(1996),1293237,1293237
176,长别离(0),1418427,1418427
177,诗(0),3212965,3212965
178,基纳瑞(0),3696290,3696290
179,燃烧(2018),26842702,26842702
180,不道德的审判(1994),1301601,1301601
181,惊狂记(1988),1296818,1296818
182,海盗夺金冠(1986),1303928,1303928
183,爱情呼叫转移(2007),1927686,1927686
184,夜店(0),2074700,2074700
185,无人区(0),3804891,3804891
186,我这一辈子(1950),1422020,1422020
187,春桃(0),1437775,1437775
188,本命年(1990),1296266,1296266
189,午夜巴黎(0),4319218,4319218
190,影与雾(1991),1301491,1301491
191,李尔王(0),1790786,1790786
192,花都绮梦(1955),1302075,1302075
193,秋日奏鸣曲(1978),1297268,1297268
194,黑暗中的音乐(1948),1920713,1920713
195,空气之魂，云之精灵(1989),2279033,2279033
196,飞一般爱情小说(0),1303987,1303987
197,两个只能活一个(1997),1296623,1296623
198,静夜之决斗(1949),1307988,1307988
199,活人的记录(1955),1302062,1302062
200,美好的星期天(1947),1295751,1295751
201,大路(0),1292719,1292719
202,卡比利亚之夜(0),1294781,1294781
203,全金属外壳(1987),1300055,1300055
204,乡愁(1983),1291556,1291556
205,甘地传(0),1292238,1292238
206,冬天的故事(0),1293388,1293388
207,定理(0),1297130,1297130
208,铁皮鼓(1979),1292207,1292207
209,为了伽耶子(0),1444530,1444530
210,四百击(0),1300056,1300056
211,木偶奇遇记(1940),1292757,1292757
212,鱼缸(2009),3073875,3073875
213,夜(0),1361252,1361252
214,婚姻生活(1970),1298892,1298892
215,晚春(0),1307265,1307265
216,柏林苍穹下(1987),1292504,1292504
217,死亡密码(0),1295783,1295783
218,苏默斯小镇(0),3120171,3120171
219,飞向太空(1972),1300977,1300977
220,春天的故事(1990),1293632,1293632
221,热带疾病(0),1414808,1414808
222,芳芳(1993),1293377,1293377
223,在七月(0),1298331,1298331
224,探戈课(0),1306960,1306960
225,天鹅绒金矿(0),1294136,1294136
226,庆典(1978),1401886,1401886
227,席德与南茜(0),1293694,1293694
228,闻香识女人(0),1298624,1298624
229,欲望号街车(1951),1293590,1293590
230,女收藏家(1967),1297344,1297344
231,大独裁者(1940),1295646,1295646
232,隐藏的恋情(0),1946786,1946786
233,同流者(1970),1300955,1300955
234,寻找梦幻岛(0),1308831,1308831
235,爱丽丝(1988),1305817,1305817
236,公主与青蛙(0),1949005,1949005
237,美国丽人(0),1292062,1292062
238,我生命中的男人(2006),1810519,1810519
239,日本昆虫记(1963),1302917,1302917
240,当风吹起的时候(1986),1308510,1308510
241,这里的黎明静悄悄(0),1303075,1303075
242,布达佩斯之恋(1999),1301106,1301106
243,安冬万叔叔(0),1304873,1304873
244,何处是我朋友的家(1987),1301897,1301897
245,亲人们(1973),3094547,3094547
246,死亡论文(1996),1421807,1421807
247,日落大道(0),1298733,1298733
248,禁闭岛(0),2334904,2334904
249,伴我同行(1986),1292925,1292925
250,在屋顶上流浪(0),1962968,1962968
251,回家的路(0),3094544,3094544
252,雌雄大盗(1967),1294584,1294584
253,假结婚(2009),3011102,3011102
254,恋爱假期(2006),1498831,1498831
255,祖与占(0),1292338,1292338
256,地下铁(0),1292467,1292467
257,半边人(1983),1299619,1299619
258,听见天堂(2006),2078398,2078398
259,珍爱(2009),3011072,3011072
260,国王的演讲(0),4023638,4023638
261,小鞋子(1997),1303021,1303021
262,为黛西小姐开车(0),1293204,1293204
263,阳光清洗(0),2230905,2230905
264,神秘肌肤(0),1309210,1309210
265,早安孟买(1988),1303051,1303051
266,王尔德(0),1300029,1300029
267,克莱尔的膝盖(1970),1294915,1294915
268,黑天鹅(0),1978709,1978709
269,狩猎(0),1470052,1470052
270,抛掉书本上街去(1971),1401520,1401520
271,死者田园祭(1974),1366165,1366165
272,无名地带(0),1310168,1310168
273,战舰波将金号(1925),1293492,1293492
274,圣女贞德蒙难记(0),1293783,1293783
275,十月(1928),1297024,1297024
276,走出非洲(1985),1291840,1291840
277,何处是我家(2001),1305092,1305092
278,遮蔽的天空(1990),1293034,1293034
279,神的孩子全跳舞(0),1876762,1876762
280,骗中骗(0),1292269,1292269
281,曾经(0),2053515,2053515
282,岁月神偷(0),3792799,3792799
283,我你他她(1974),1429055,1429055
284,秋日和(0),1401843,1401843
285,恋恋笔记本(2004),1309163,1309163
286,黄石的孩子(0),1923474,1923474
287,高山下的花环(0),1422283,1422283
288,阿黛尔·雨果的故事(1975),1293870,1293870
289,游戏规则(0),1401261,1401261
290,我的舅舅(1958),1400829,1400829
291,大街上的商店(1965),1292830,1292830
292,说谎的人(1968),1298769,1298769
293,植物园的狂欢(1969),2278792,2278792
294,大地之歌(1955),1306019,1306019
295,狗脸的岁月(0),1291976,1291976
296,啊！摇篮(0),1304396,1304396
297,救命(2004),1308797,1308797
298,恐怖蜡像馆(2005),1309184,1309184
299,兔子(0),1437960,1437960
300,魔法奇缘(0),1971111,1971111
301,亲爱的温迪(0),1309098,1309098
302,不法之徒(0),1301798,1301798
303,海云台(2009),2364074,2364074
304,一九四二(0),6011805,6011805
305,房间(2003),4819988,4819988
306,青春祭(1985),1428208,1428208
307,桃李劫(0),1307112,1307112
308,万家灯火(1948),1419052,1419052
309,暴风雨中的孤儿(0),1292998,1292998
310,郎在对门唱山歌(2011),6126445,6126445
311,浮士德(2011),3731625,3731625
312,生日礼(2009),3236350,3236350
313,绝响(1985),1300207,1300207
314,血色清晨(1992),1306830,1306830
315,越战毛发(1979),1292583,1292583
316,流浪者(1951),1291865,1291865
317,柳媚花娇(1967),1301648,1301648
318,小花(1979),1309226,1309226
319,两个英国女孩与欧陆(1971),1292773,1292773
320,风中的孩子(1937),3078448,3078448
321,功夫大师(1988),1300420,1300420
322,小煤炭商(0),1782989,1782989
323,人间昆虫记(1996),1302480,1302480
324,树(2010),3990145,3990145
325,幸福(1965),1483516,1483516
326,告诉他们，我乘白鹤去了(2012),11528251,11528251
327,关山飞渡(1939),1298134,1298134
328,红河(1948),1292565,1292565
329,虎豹小霸王(1969),1297602,1297602
330,战火(1946),1299257,1299257
331,罗马11时(1952),1466243,1466243
332,沉沦(0),1299228,1299228
333,守望者：罪恶迷途(0),4821015,4821015
334,异型基地(1993),1295404,1295404
335,送报男孩(0),6832334,6832334
336,大师和玛格丽特(0),3572744,3572744
337,土匪(1996),1297905,1297905
338,花瓣(0),1949682,1949682
339,哭泣的女人(2002),1432013,1432013
340,美姐(2012),10833919,10833919
341,推销员(0),26679552,26679552
342,蓝星人怀乡曲(2005),1771038,1771038
343,登堂入室(2012),6537486,6537486
344,我要你的爱(2012),6891909,6891909
345,按摩师与女人(1938),3074498,3074498
346,魔屋(1972),1302401,1302401
347,暴力街区(2014),3718269,3718269
348,深入肌肤(1966),3716610,3716610
349,青空娘(0),2361085,2361085
350,罗密欧与朱丽叶(0),1295467,1295467
351,生命是个奇迹(2004),1416895,1416895
352,草人(0),2030745,2030745
353,相思树(0),6120829,6120829
354,盖瑞(2002),1297665,1297665
355,巴塔哥尼亚(2010),3074474,3074474
356,坐稳车，泰欣娜(0),1401897,1401897
357,月神的宠儿(1984),1757934,1757934
358,橡树(1992),1303475,1303475
359,成功的滋味(1957),1302808,1302808
360,巴黎宝贝(2011),5366708,5366708
361,属于我们的圣诞节(0),2044081,2044081
362,我们不能白头到老(1972),1305619,1305619
363,孤独的莉里(0),2133061,2133061
364,狐狸打猎人(1978),1431721,1431721
365,曹冲称象(0),1431716,1431716
366,情迷翡冷翠(2000),1297771,1297771
367,辣手摧花(0),1293817,1293817
368,毛绒(2013),10577995,10577995
369,饥饿海峡(0),1305567,1305567
370,小偷(0),1295991,1295991
371,它在身后(2014),25870483,25870483
372,赤裸童年(1968),1427865,1427865
373,疯狂的兔子(1997),1938923,1938923
374,哆啦A梦：伴我同行(2014),25769362,25769362
375,董夫人(0),1297767,1297767
376,夺命金(0),3532614,3532614
377,迟到的婚礼(2001),1308024,1308024
378,蔚蓝深海(2011),5415301,5415301
379,禁忌(0),10438585,10438585
380,太空一号(2012),4301662,4301662
381,彗星来的那一夜(0),25807345,25807345
382,降临(2016),21324900,21324900
383,给桃子的信(2011),6010171,6010171
384,向阳处的她(0),20426995,20426995
385,陪安东尼度过漫长岁月(2015),26269510,26269510
386,山之外(2012),10521893,10521893
387,天堂：信仰(0),19894195,19894195
388,神的孩子奇遇记(0),5152343,5152343
389,犀牛季节(0),6027617,6027617
390,出租车(2015),26304167,26304167
391,疟疾(2016),26845011,26845011
392,疯狂原始人(0),1907966,1907966
393,不知从何处来的女孩(2012),11500299,11500299
394,内布拉斯加(2013),6538833,6538833
395,斯托克(2013),4896894,4896894
396,花容月貌(0),21815004,21815004
397,野马(2015),26372545,26372545
398,伊桑格林的群居生活(2005),1859550,1859550
399,甜蜜杀机(2014),21765841,21765841
400,前任2：备胎反击战(2015),25881786,25881786
401,白日焰火(2014),21941804,21941804
402,长江图(2016),7062596,7062596
403,约瑟夫之子(0),26420616,26420616
404,驯龙高手2(0),4824512,4824512
405,伦敦一家人(0),5327189,5327189
406,伊斯特·康(2000),1303448,1303448
407,超能陆战队(2014),11026735,11026735
408,西游记(1960),3163582,3163582
409,百日红(2015),25872959,25872959
410,自由之丘(0),10796578,10796578
411,烦闷(0),2257513,2257513
412,小森林 冬春篇(2015),25814707,25814707
413,布杜落水遇救记(1932),1302490,1302490
414,逃犯贝贝(1937),1304571,1304571
415,犬舍惊魂(2018),27017673,27017673
416,黑雨(1989),1294867,1294867
417,如果和母亲一起生活(0),26284955,26284955
418,羞辱(2017),27098888,27098888
419,沼泽地(2014),25892603,25892603
420,看不见的客人(2016),26580232,26580232
421,去年冬天与你分手(2018),27102505,27102505
422,卡罗尔(0),10757577,10757577
423,死亡天使(2018),30143523,30143523
424,谁先爱上他的(0),27119586,27119586
425,魔宫魅影(2016),26220725,26220725
426,私人采购员(2016),26390938,26390938
427,双面情人(2017),26892546,26892546
428,路易十四的死亡纪事(0),26648456,26648456
429,咏鹅(2018),27025631,27025631
430,沉默的教室(2018),27608785,27608785
431,天亮之前(0),26352440,26352440
432,绣春刀II：修罗战场(0),26270502,26270502
433,宣言(0),26414254,26414254
434,天才一族(0),1306031,1306031
435,午夜巴士(2017),26990725,26990725
436,生在幼子(0),26814623,26814623
437,二冬(0),3271274,3271274
438,奥蒂莫，保佑我(2013),3582083,3582083
439,坎大哈(0),1295091,1295091
440,某种女人(0),26341593,26341593
441,血观音(0),27113517,27113517
442,冥王星时刻(2018),26887153,26887153
443,移动迷宫3：死亡解药(2018),26004132,26004132
444,一袋弹子(0),26936217,26936217
445,奎迪：英雄再起(0),26707088,26707088
446,星期五的孩子(2018),26957202,26957202
447,探员卡特(0),25662063,25662063
448,噢，露西！(2017),26938058,26938058
449,云端之上(2017),25805039,25805039
450,希斯特斯兄弟(0),26600786,26600786
451,圣地亚哥在下雨(0),1449416,1449416
452,我不是女巫(2017),27026516,27026516
453,阿弥陀堂讯息(2002),1937998,1937998
454,死于明日(2017),27157811,27157811
455,宿命，吾爱：第一部(2017),26933366,26933366
456,你的鸟儿会唱歌(0),26969120,26969120
457,四个国王(2015),26725033,26725033
458,越前竹偶(0),2360830,2360830
459,检察方的罪人(0),27035334,27035334
460,芦苇荡的时光(2017),27165059,27165059
461,准许(0),26718085,26718085
462,伊娃(0),1420219,1420219
463,乔纳斯(2018),30286112,30286112
464,高潮(2018),30154537,30154537
465,家在兰若寺(2017),27091250,27091250
466,女巫(0),26276364,26276364
467,新喜剧之王(0),4840388,4840388
468,马利纳(1991),1471644,1471644
469,只有爱能让我生存(2018),30139756,30139756
470,恶人(2010),4135443,4135443
471,走私者(2011),5379974,5379974
472,爱与诚(2012),6601369,6601369
473,带子雄狼：三涂河的乳母车(0),1307278,1307278
474,宇宙大爆炸(2010),3722719,3722719
475,最后一战(0),1297910,1297910
476,1:99电影行动(0),1419547,1419547
477,笑破铁幕(1984),1299851,1299851
478,重载武器(1993),1292482,1292482
479,夺命心跳(0),4914627,4914627
480,锦绣前程(0),1303862,1303862
481,冰河追凶(2016),26315270,26315270
482,蓝盐(0),4195568,4195568
483,辩护人(0),21937445,21937445
484,密探(2016),26374671,26374671
485,愤怒的伦理学(2013),20515276,20515276
486,我们是兄弟(2014),25824753,25824753
487,狩猎(2016),26353381,26353381
488,陈翔六点半之铁头无敌(0),30223596,30223596
489,大刀王五(1973),1306975,1306975
490,赌侠2002(2002),2003156,2003156
491,城中大盗(0),3217165,3217165
492,哥的传说(2010),5377107,5377107
493,茱丽叶(2010),4920572,4920572
494,二弟(2003),1305108,1305108
495,变色龙(0),2377646,2377646
496,彩券(2016),25937856,25937856
497,死亡寿司(2012),10763099,10763099
498,僵尸来袭(2014),24746974,24746974
499,“下次开船”港游记(1984),1873359,1873359
500,婚前性行为(0),1307511,1307511
501,再见，男孩(2010),5273313,5273313
502,钢铁大吴(2012),19963933,19963933
503,隔离区(2008),2373638,2373638
504,椿三十郎(2007),1958952,1958952
505,鬼马小天使(0),4324590,4324590
506,借尸还魂(0),6521950,6521950
507,猪猡之王(0),6902933,6902933
508,追凶(0),1532365,1532365
509,加油站袭击事件2(2010),4838179,4838179
510,超级骑警(0),1306445,1306445
511,赛勒斯(0),3326759,3326759
512,带一片风景走(2011),6224731,6224731
513,恶灵入侵(2011),4753436,4753436
514,哥伦比亚马戏团(0),3671936,3671936
515,一席之地(2009),3629231,3629231
516,龙纹身的女孩(0),4206357,4206357
517,音乐救赎者(0),24741638,24741638
518,绿灯侠(0),2364054,2364054
519,正义联盟：战争(2014),25760447,25760447
520,蝙蝠侠：致命玩笑(0),26692652,26692652
521,暴力史(2005),1422917,1422917
522,金镖黄天霸(1987),1883355,1883355
523,无敌鸳鸯腿(0),2004253,2004253
524,梦游(2011),6804364,6804364
525,寻求正义(2011),3033030,3033030
526,诊所惊魂(0),4313237,4313237
527,现在这样就好(2008),3223653,3223653
528,一无所有(2002),1303680,1303680
529,火山(0),6123863,6123863
530,迪迦&戴拿&盖亚·奥特曼 超时空的大决戦(1999),2264580,2264580
531,神通(1993),1301084,1301084
532,在阁楼上有谁今天过生日？(2009),3591787,3591787
533,神探亨特张(2012),6880590,6880590
534,魔鬼绳结(2013),1951195,1951195
535,波基普西录像带(0),2301205,2301205
536,小乃海苔便当(2009),3205673,3205673
537,1980年代的爱情(0),25955372,25955372
538,反情色(2016),26856907,26856907
539,午夜兰花(1983),2137266,2137266
540,月夜斩(1980),3406781,3406781
541,多情双宝环(1979),3406777,3406777
542,五百万美元的大丈夫(0),10774097,10774097
543,狼人游戏(0),5152276,5152276
544,长翅膀的猪(2011),6792169,6792169
545,人奶魔巢(1989),3993263,3993263
546,野狗们(2014),25806461,25806461
547,盖世傻侠(0),1422969,1422969
548,自由世界(0),1950430,1950430
549,伤心小号曲(2010),4924799,4924799
550,解决士(2010),4901702,4901702
551,一狱一世界：高登阔少蹲监日记(0),25857313,25857313
552,同囚(2017),26897027,26897027
553,一锤定音(2017),26383898,26383898
554,最危险的路(2010),4097242,4097242
555,与敌同寝(0),4861407,4861407
556,人民公敌3(2008),3013705,3013705
557,神之一手(2014),24756658,24756658
558,家族荣誉2：家门的危机(0),1440852,1440852
559,斩(2008),3226405,3226405
560,无头骑士异闻录：天网恢恢(2010),25949814,25949814
561,猥琐传说：大电影(2013),25738228,25738228
562,狂蟒之灾2(2004),1308784,1308784
563,追踪长尾豹马修(2012),6030611,6030611
564,维京小海盗(2011),4849737,4849737
565,勇闯魔鬼城(0),1419928,1419928
566,锤子镰刀都休息(0),24854896,24854896
567,杀了我三次(2014),10764850,10764850
568,生活艰难但是快乐(2002),1507134,1507134
569,牯岭街少年杀人事件(1991),1292329,1292329
570,深度入侵(2012),10483280,10483280
571,身在其中(2007),1963710,1963710
572,凯撒万岁(0),2058751,2058751
573,疯狂修道院(2017),26832720,26832720
574,教师(2014),25736564,25736564
575,鬼书(2014),25785812,25785812
576,蜡笔小新：梦境世界大突击(0),26660834,26660834
577,我盛大的希腊婚礼2(0),25896953,25896953
578,一个叫欧维的男人决定去死(0),26628357,26628357
579,极道饭(0),5905754,5905754
580,第三类终结者(1997),1295426,1295426
581,麦兜·饭宝奇兵(2016),25889476,25889476
582,克罗索巨兽(2016),26388164,26388164
583,溺水小刀(0),26611076,26611076
584,一些怪人(0),26382796,26382796
585,我心雀跃(0),26761334,26761334
586,请叫我英雄(2015),25899379,25899379
587,逃亡僵尸岛(2015),26349395,26349395
588,生化危机：复仇(0),26876342,26876342
589,七个盒子(0),11614470,11614470
590,我的平凡爱情(0),25909988,25909988
591,迟来的愤怒(2016),26737564,26737564
592,石雕宅邸杀人案(2017),27006882,27006882
593,回归(2007),2286165,2286165
594,普通人(2017),26781663,26781663
595,我能说(2017),27000061,27000061
596,现实之舞(0),19955955,19955955
597,伤心往事(2016),26667645,26667645
598,通灵神探(0),3217142,3217142
599,亨利之书(0),26357441,26357441
600,被操纵的城市(2017),26340301,26340301
601,十万个冷笑话2(0),26759539,26759539
602,收割伊丽莎白(2018),27073254,27073254
603,蓝精灵2(0),6870493,6870493
604,内裤队长(0),7065160,7065160
605,钟馗传奇之岁寒三友(0),27015984,27015984
606,诈骗犯(1993),2972498,2972498
607,末世人间道(2018),27056323,27056323
608,的士诡谈(2018),27617313,27617313
609,酣歌畅戏(0),1293528,1293528
610,艳曲迷魂(1948),1293551,1293551
611,我是尼罗(0),10527486,10527486
612,狩猎聚会(0),1793923,1793923
613,济公之神龙再现(2018),30284870,30284870
614,轻松+愉快(2017),26335560,26335560
615,喜禾(0),25857434,25857434
616,九三年夏天(2017),26979007,26979007
617,通往儿子的心路(2016),27012857,27012857
618,地狱男爵(2004),1308851,1308851
619,达克(2018),30210116,30210116
620,龙之忍者(0),1295964,1295964
621,十一月的罪行(2017),26306943,26306943
622,警界争雄(0),1316561,1316561
623,河流如血(2018),27611406,27611406
624,天才与白痴(1997),1307554,1307554
625,胡杨的夏天(0),27042526,27042526
626,落难见真情(1987),1301775,1301775
627,让我告诉你(2009),3805979,3805979
628,彩虹照耀(0),3750554,3750554
629,智慧囚屋(2018),26791644,26791644
630,血战沙漠(0),2075358,2075358
631,幽浮档案(2018),26995538,26995538
632,救世主杰夫(0),30402395,30402395
633,最爽的一天(0),26680247,26680247
634,明明是我的人生(0),27028864,27028864
635,使徒(2018),26908051,26908051
636,马柔本宅秘事(0),26961821,26961821
637,地面之洞(2019),27197468,27197468
638,心跳砰砰响(0),27092545,27092545
639,合并(2018),30366439,30366439
640,机器人嘉年华(0),1299701,1299701
641,天气预爆(2018),26994789,26994789
642,三次元女友(0),27082461,27082461
643,极限职业(2019),27597250,27597250
644,贴身女保镖(0),27044258,27044258
645,七省拳王(1974),3840354,3840354
646,三方国界(0),3927789,3927789
647,绿毛怪格林奇(0),23774869,23774869
648,米果的秋天(2019),33383347,33383347
649,狂野生活(2018),26847068,26847068
650,鬼子来了(0),1291858,1291858
651,新少林寺(2011),4097023,4097023
652,关云长(2011),4821046,4821046
653,孩子王(1987),1293391,1293391
654,三枪拍案惊奇(2009),3718447,3718447
655,疾走(2005),1757379,1757379
656,幸福之钟(2002),1303995,1303995
657,魔幻时刻(2008),2157507,2157507
658,最后的天堂(0),1421735,1421735
659,吴清源(0),1461370,1461370
660,双姝奇缘(0),1421309,1421309
661,恋爱中的宝贝(2004),1308746,1308746
662,黑衣新娘(1968),1303544,1303544
663,大魔术师(0),4913200,4913200
664,迷离劫(1996),1294802,1294802
665,家有喜事2009(2009),3244162,3244162
666,全城热恋(0),4066206,4066206
667,无法松的一生(1958),1294022,1294022
668,夺命剑(1967),1300738,1300738
669,色，戒(0),1828115,1828115
670,人间喜剧(2010),4312232,4312232
671,新流星蝴蝶剑(1993),1298589,1298589
672,公众之敌(2009),2369549,2369549
673,致命伴旅(2010),4190211,4190211
674,加勒比海盗4：惊涛怪浪(2011),3227410,3227410
675,拳精(0),1308308,1308308
676,天将雄师(2015),25823833,25823833
677,三城记(2015),24751764,24751764
678,宛如阿修罗(2003),1292340,1292340
679,与春同行(2010),3683594,3683594
680,女人步上楼梯时(1960),1419479,1419479
681,666魔鬼复活(1996),1421924,1421924
682,凶猫(0),1302648,1302648
683,婚前试爱(0),5285669,5285669
684,幻之光(0),1306885,1306885
685,第36个故事(2010),3732780,3732780
686,小毕的故事(1983),1305579,1305579
687,红玫瑰白玫瑰(1994),1297036,1297036
688,我愿意(2012),6782006,6782006
689,独自等待(2004),1308741,1308741
690,戏梦巴黎(0),1291856,1291856
691,平凡情人(0),1423038,1423038
692,蟹工船(0),3296792,3296792
693,发条橙(0),1292233,1292233
